Prestadora,CNPJ,Número da Estação,Tipo da Estação,UF,Código da UF,Município,Código do Município,Logradouro,Latitude,Longitude,Frequência Inicial (MHz),Frequência Final (MHz),Azimute,Emissão
CLARO S.A.,66970229000167,1005125055,FB,BA,29,Salvador,2927408,"RUA CÔNEGO ORLANDO, Nº06, BONFIM",-12.9277500000000000,-38.5083055555555000,2155.000,2165.000,110,5M00G9W
CLARO S.A.,66970229000167,1005125055,FB,BA,29,Salvador,2927408,"RUA CÔNEGO ORLANDO, Nº06, BONFIM",-12.9277500000000000,-38.5083055555555000,2155.000,2165.000,260,5M00G9W
CLARO S.A.,66970229000167,1005125055,FB,BA,29,Salvador,2927408,"RUA CÔNEGO ORLANDO, Nº06, BONFIM",-12.9277500000000000,-38.5083055555555000,2165.000,2170.000,40,5M00G9W
CLARO S.A.,66970229000167,1005125055,FB,BA,29,Salvador,2927408,"RUA CÔNEGO ORLANDO, Nº06, BONFIM",-12.9277500000000000,-38.5083055555555000,2165.000,2170.000,110,5M00G9W
CLARO S.A.,66970229000167,1005125055,FB,BA,29,Salvador,2927408,"RUA CÔNEGO ORLANDO, Nº06, BONFIM",-12.9277500000000000,-38.5083055555555000,2165.000,2170.000,260,5M00G9W
CLARO S.A.,66970229000167,1005125063,FB,BA,29,Salvador,2927408,"AVENIDA DOM JOÃO VI, 856",-12.9895416666666666,-38.4925166666666666,2135.000,2145.000,110,5M00G9W
CLARO S.A.,66970229000167,1005125063,FB,BA,29,Salvador,2927408,"AVENIDA DOM JOÃO VI, 856",-12.9895416666666666,-38.4925166666666666,2135.000,2145.000,210,5M00G9W
CLARO S.A.,66970229000167,1005125063,FB,BA,29,Salvador,2927408,"AVENIDA DOM JOÃO VI, 856",-12.9895416666666666,-38.4925166666666666,2135.000,2145.000,330,5M00G9W
CLARO S.A.,66970229000167,1005125063,FB,BA,29,Salvador,2927408,"AVENIDA DOM JOÃO VI, 856",-12.9895416666666666,-38.4925166666666666,2155.000,2165.000,110,5M00G9W
CLARO S.A.,66970229000167,1005125063,FB,BA,29,Salvador,2927408,"AVENIDA DOM JOÃO VI, 856",-12.9895416666666666,-38.4925166666666666,2155.000,2165.000,210,5M00G9W
CLARO S.A.,66970229000167,1005125063,FB,BA,29,Salvador,2927408,"AVENIDA DOM JOÃO VI, 856",-12.9895416666666666,-38.4925166666666666,2155.000,2165.000,330,5M00G9W
CLARO S.A.,66970229000167,1005125063,FB,BA,29,Salvador,2927408,"AVENIDA DOM JOÃO VI, 856",-12.9895416666666666,-38.4925166666666666,2165.000,2170.000,110,5M00G9W
CLARO S.A.,66970229000167,1005125063,FB,BA,29,Salvador,2927408,"AVENIDA DOM JOÃO VI, 856",-12.9895416666666666,-38.4925166666666666,2165.000,2170.000,210,5M00G9W
CLARO S.A.,66970229000167,1005125063,FB,BA,29,Salvador,2927408,"AVENIDA DOM JOÃO VI, 856",-12.9895416666666666,-38.4925166666666666,2165.000,2170.000,330,5M00G9W
CLARO S.A.,66970229000167,1005125071,FB,BA,29,Salvador,2927408,"RUA WASHINGTON, N° 98A - BAIRRO TANCREDO NEVES",-12.9506388888888333,-38.4527194444443333,2135.000,2145.000,40,5M00G7W
CLARO S.A.,66970229000167,1005125071,FB,BA,29,Salvador,2927408,"RUA WASHINGTON, N° 98A - BAIRRO TANCREDO NEVES",-12.9506388888888333,-38.4527194444443333,2135.000,2145.000,130,5M00G7W
CLARO S.A.,66970229000167,1005125071,FB,BA,29,Salvador,2927408,"RUA WASHINGTON, N° 98A - BAIRRO TANCREDO NEVES",-12.9506388888888333,-38.4527194444443333,2135.000,2145.000,300,5M00G7W
CLARO S.A.,66970229000167,1005125071,FB,BA,29,Salvador,2927408,"RUA WASHINGTON, N° 98A - BAIRRO TANCREDO NEVES",-12.9506388888888333,-38.4527194444443333,2155.000,2165.000,40,5M00G7W
CLARO S.A.,66970229000167,1005125071,FB,BA,29,Salvador,2927408,"RUA WASHINGTON, N° 98A - BAIRRO TANCREDO NEVES",-12.9506388888888333,-38.4527194444443333,2155.000,2165.000,130,5M00G7W
CLARO S.A.,66970229000167,1005125071,FB,BA,29,Salvador,2927408,"RUA WASHINGTON, N° 98A - BAIRRO TANCREDO NEVES",-12.9506388888888333,-38.4527194444443333,2155.000,2165.000,300,5M00G7W
CLARO S.A.,66970229000167,1005125071,FB,BA,29,Salvador,2927408,"RUA WASHINGTON, N° 98A - BAIRRO TANCREDO NEVES",-12.9506388888888333,-38.4527194444443333,2165.000,2170.000,40,5M00G7W
CLARO S.A.,66970229000167,1005125071,FB,BA,29,Salvador,2927408,"RUA WASHINGTON, N° 98A - BAIRRO TANCREDO NEVES",-12.9506388888888333,-38.4527194444443333,2165.000,2170.000,130,5M00G7W
CLARO S.A.,66970229000167,1005125071,FB,BA,29,Salvador,2927408,"RUA WASHINGTON, N° 98A - BAIRRO TANCREDO NEVES",-12.9506388888888333,-38.4527194444443333,2165.000,2170.000,300,5M00G7W
CLARO S.A.,66970229000167,1005125080,FB,BA,29,Salvador,2927408,"RUA PARÁ, 454, CONDOMÍNIO PORTAL DA PITUBA",-13.0060555555555000,-38.4682777777776666,2135.000,2145.000,50,5M00G7W
CLARO S.A.,66970229000167,1005125080,FB,BA,29,Salvador,2927408,"RUA PARÁ, 454, CONDOMÍNIO PORTAL DA PITUBA",-13.0060555555555000,-38.4682777777776666,2135.000,2145.000,260,5M00G7W
CLARO S.A.,66970229000167,1005125080,FB,BA,29,Salvador,2927408,"RUA PARÁ, 454, CONDOMÍNIO PORTAL DA PITUBA",-13.0060555555555000,-38.4682777777776666,2155.000,2165.000,50,5M00G7W
CLARO S.A.,66970229000167,1005125080,FB,BA,29,Salvador,2927408,"RUA PARÁ, 454, CONDOMÍNIO PORTAL DA PITUBA",-13.0060555555555000,-38.4682777777776666,2155.000,2165.000,260,5M00G7W
CLARO S.A.,66970229000167,1005125080,FB,BA,29,Salvador,2927408,"RUA PARÁ, 454, CONDOMÍNIO PORTAL DA PITUBA",-13.0060555555555000,-38.4682777777776666,2165.000,2170.000,50,5M00G7W
CLARO S.A.,66970229000167,1005125080,FB,BA,29,Salvador,2927408,"RUA PARÁ, 454, CONDOMÍNIO PORTAL DA PITUBA",-13.0060555555555000,-38.4682777777776666,2165.000,2170.000,260,5M00G7W
CLARO S.A.,66970229000167,1005125098,FB,BA,29,Salvador,2927408,"AVENIDA ORLANDO GOMES, S/N - CONDOMÍNIO VEREDAS DE PIATÃ",-12.9485250000000000,-38.3852638888888333,2135.000,2145.000,20,5M00G9W
CLARO S.A.,66970229000167,1005125098,FB,BA,29,Salvador,2927408,"AVENIDA ORLANDO GOMES, S/N - CONDOMÍNIO VEREDAS DE PIATÃ",-12.9485250000000000,-38.3852638888888333,2135.000,2145.000,110,5M00G9W
CLARO S.A.,66970229000167,1005125098,FB,BA,29,Salvador,2927408,"AVENIDA ORLANDO GOMES, S/N - CONDOMÍNIO VEREDAS DE PIATÃ",-12.9485250000000000,-38.3852638888888333,2135.000,2145.000,210,5M00G9W
CLARO S.A.,66970229000167,1005125098,FB,BA,29,Salvador,2927408,"AVENIDA ORLANDO GOMES, S/N - CONDOMÍNIO VEREDAS DE PIATÃ",-12.9485250000000000,-38.3852638888888333,2155.000,2165.000,20,5M00G9W
CLARO S.A.,66970229000167,1005125098,FB,BA,29,Salvador,2927408,"AVENIDA ORLANDO GOMES, S/N - CONDOMÍNIO VEREDAS DE PIATÃ",-12.9485250000000000,-38.3852638888888333,2155.000,2165.000,110,5M00G9W
CLARO S.A.,66970229000167,1005125098,FB,BA,29,Salvador,2927408,"AVENIDA ORLANDO GOMES, S/N - CONDOMÍNIO VEREDAS DE PIATÃ",-12.9485250000000000,-38.3852638888888333,2155.000,2165.000,210,5M00G9W
CLARO S.A.,66970229000167,1005125098,FB,BA,29,Salvador,2927408,"AVENIDA ORLANDO GOMES, S/N - CONDOMÍNIO VEREDAS DE PIATÃ",-12.9485250000000000,-38.3852638888888333,2165.000,2170.000,20,5M00G9W
CLARO S.A.,66970229000167,1005125098,FB,BA,29,Salvador,2927408,"AVENIDA ORLANDO GOMES, S/N - CONDOMÍNIO VEREDAS DE PIATÃ",-12.9485250000000000,-38.3852638888888333,2165.000,2170.000,110,5M00G9W
CLARO S.A.,66970229000167,1005125098,FB,BA,29,Salvador,2927408,"AVENIDA ORLANDO GOMES, S/N - CONDOMÍNIO VEREDAS DE PIATÃ",-12.9485250000000000,-38.3852638888888333,2165.000,2170.000,210,5M00G9W
CLARO S.A.,66970229000167,1005125101,FB,BA,29,Salvador,2927408,"RUA CONDE PORTO ALEGRE, S/N - (GARAGEM DA SESAB)",-12.9580388888888333,-38.4884083333333333,2135.000,2145.000,70,5M00G9W
CLARO S.A.,66970229000167,1005125101,FB,BA,29,Salvador,2927408,"RUA CONDE PORTO ALEGRE, S/N - (GARAGEM DA SESAB)",-12.9580388888888333,-38.4884083333333333,2135.000,2145.000,190,5M00G9W
CLARO S.A.,66970229000167,1005125101,FB,BA,29,Salvador,2927408,"RUA CONDE PORTO ALEGRE, S/N - (GARAGEM DA SESAB)",-12.9580388888888333,-38.4884083333333333,2135.000,2145.000,320,5M00G9W
CLARO S.A.,66970229000167,1005125101,FB,BA,29,Salvador,2927408,"RUA CONDE PORTO ALEGRE, S/N - (GARAGEM DA SESAB)",-12.9580388888888333,-38.4884083333333333,2155.000,2165.000,70,5M00G9W
CLARO S.A.,66970229000167,1005125101,FB,BA,29,Salvador,2927408,"RUA CONDE PORTO ALEGRE, S/N - (GARAGEM DA SESAB)",-12.9580388888888333,-38.4884083333333333,2155.000,2165.000,190,5M00G9W
CLARO S.A.,66970229000167,1005125101,FB,BA,29,Salvador,2927408,"RUA CONDE PORTO ALEGRE, S/N - (GARAGEM DA SESAB)",-12.9580388888888333,-38.4884083333333333,2155.000,2165.000,320,5M00G9W
CLARO S.A.,66970229000167,1005125101,FB,BA,29,Salvador,2927408,"RUA CONDE PORTO ALEGRE, S/N - (GARAGEM DA SESAB)",-12.9580388888888333,-38.4884083333333333,2165.000,2170.000,70,5M00G9W
CLARO S.A.,66970229000167,1005125101,FB,BA,29,Salvador,2927408,"RUA CONDE PORTO ALEGRE, S/N - (GARAGEM DA SESAB)",-12.9580388888888333,-38.4884083333333333,2165.000,2170.000,190,5M00G9W
CLARO S.A.,66970229000167,1005125101,FB,BA,29,Salvador,2927408,"RUA CONDE PORTO ALEGRE, S/N - (GARAGEM DA SESAB)",-12.9580388888888333,-38.4884083333333333,2165.000,2170.000,320,5M00G9W
CLARO S.A.,66970229000167,1005125110,FB,BA,29,Salvador,2927408,"RUA ALTINO SERBETO DE BARROS, 173 - PITUBA",-12.9982777777776666,-38.4664694444443333,2135.000,2145.000,50,5M00G7W
CLARO S.A.,66970229000167,1005125110,FB,BA,29,Salvador,2927408,"RUA ALTINO SERBETO DE BARROS, 173 - PITUBA",-12.9982777777776666,-38.4664694444443333,2135.000,2145.000,210,5M00G7W
CLARO S.A.,66970229000167,1005125110,FB,BA,29,Salvador,2927408,"RUA ALTINO SERBETO DE BARROS, 173 - PITUBA",-12.9982777777776666,-38.4664694444443333,2135.000,2145.000,310,5M00G7W
CLARO S.A.,66970229000167,1005125110,FB,BA,29,Salvador,2927408,"RUA ALTINO SERBETO DE BARROS, 173 - PITUBA",-12.9982777777776666,-38.4664694444443333,2155.000,2165.000,50,5M00G7W
CLARO S.A.,66970229000167,1005125110,FB,BA,29,Salvador,2927408,"RUA ALTINO SERBETO DE BARROS, 173 - PITUBA",-12.9982777777776666,-38.4664694444443333,2155.000,2165.000,210,5M00G7W
CLARO S.A.,66970229000167,1005125110,FB,BA,29,Salvador,2927408,"RUA ALTINO SERBETO DE BARROS, 173 - PITUBA",-12.9982777777776666,-38.4664694444443333,2155.000,2165.000,310,5M00G7W
CLARO S.A.,66970229000167,1005125110,FB,BA,29,Salvador,2927408,"RUA ALTINO SERBETO DE BARROS, 173 - PITUBA",-12.9982777777776666,-38.4664694444443333,2165.000,2170.000,50,5M00G7W
