Prestadora;CNPJ;N�mero da Esta��o;Tipo da Esta��o;UF;C�digo da UF;Munic�pio;C�digo do Munic�pio;Logradouro;Latitude;Longitude;Frequ�ncia Inicial (MHz);Frequ�ncia Final (MHz);Azimute;Emiss�o
TIM S/A;02421421000111;692836489;FB;SC;42;Crici�ma;4204608;RUA 362 391;*;*;2670.000;2690.000;15;10M0G7W
TIM S/A;02421421000111;692836489;FB;SC;42;Crici�ma;4204608;RUA 362 391;*;*;2670.000;2690.000;180;10M0G7W
TIM S/A;02421421000111;692836489;FB;SC;42;Crici�ma;4204608;RUA 362 391;*;*;2670.000;2690.000;290;10M0G7W
TIM S/A;02421421000111;692836489;FB;SC;42;Crici�ma;4204608;RUA 362 391;*;*;869.000;880.000;15;5M00G7W
TIM S/A;02421421000111;692836489;FB;SC;42;Crici�ma;4204608;RUA 362 391;*;*;869.000;880.000;180;5M00G7W
TIM S/A;02421421000111;692836489;FB;SC;42;Crici�ma;4204608;RUA 362 391;*;*;869.000;880.000;290;5M00G7W
TIM S A;02421421000111;697355012;FB;SC;42;Capivari de Baixo;4203956;RUA JO�O RODRIGUES MARTINS, SN - CENTRO;*;*;;778.0;60.0;10M0G7W
TIM S A;02421421000111;697355012;FB;SC;42;Capivari de Baixo;4203956;RUA JO�O RODRIGUES MARTINS, SN - CENTRO;*;*;;778.0;160.0;10M0G7W
TIM S A;02421421000111;697355012;FB;SC;42;Capivari de Baixo;4203956;RUA JO�O RODRIGUES MARTINS, SN - CENTRO;*;*;;778.0;240.0;10M0G7W
TIM S A;02421421000111;697355012;FB;SC;42;Capivari de Baixo;4203956;RUA JO�O RODRIGUES MARTINS, SN - CENTRO;*;*;;1825.0;60.0;10M0G7W
TIM S A;02421421000111;697355012;FB;SC;42;Capivari de Baixo;4203956;RUA JO�O RODRIGUES MARTINS, SN - CENTRO;*;*;;1825.0;160.0;10M0G7W
TIM S A;02421421000111;697355012;FB;SC;42;Capivari de Baixo;4203956;RUA JO�O RODRIGUES MARTINS, SN - CENTRO;*;*;;1825.0;240.0;10M0G7W
TIM S A;02421421000111;697355012;FB;SC;42;Capivari de Baixo;4203956;RUA JO�O RODRIGUES MARTINS, SN - CENTRO;*;*;;1832.5;60.0;5M00G7W
TIM S A;02421421000111;697355012;FB;SC;42;Capivari de Baixo;4203956;RUA JO�O RODRIGUES MARTINS, SN - CENTRO;*;*;;1832.5;160.0;5M00G7W
TIM S A;02421421000111;697355012;FB;SC;42;Capivari de Baixo;4203956;RUA JO�O RODRIGUES MARTINS, SN - CENTRO;*;*;;1832.5;240.0;5M00G7W
TIM S A;02421421000111;697355012;FB;SC;42;Capivari de Baixo;4203956;RUA JO�O RODRIGUES MARTINS, SN - CENTRO;*;*;;1825.0;60.0;200KG7W
TIM S A;02421421000111;697355012;FB;SC;42;Capivari de Baixo;4203956;RUA JO�O RODRIGUES MARTINS, SN - CENTRO;*;*;;1825.0;160.0;200KG7W
TIM S A;02421421000111;697355012;FB;SC;42;Capivari de Baixo;4203956;RUA JO�O RODRIGUES MARTINS, SN - CENTRO;*;*;;1825.0;240.0;200KG7W
TIM S A;02421421000111;697355012;FB;SC;42;Capivari de Baixo;4203956;RUA JO�O RODRIGUES MARTINS, SN - CENTRO;*;*;;1832.5;60.0;200KG7W
TIM S A;02421421000111;697355012;FB;SC;42;Capivari de Baixo;4203956;RUA JO�O RODRIGUES MARTINS, SN - CENTRO;*;*;;1832.5;160.0;200KG7W
TIM S A;02421421000111;697355012;FB;SC;42;Capivari de Baixo;4203956;RUA JO�O RODRIGUES MARTINS, SN - CENTRO;*;*;;1832.5;240.0;200KG7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;773.0;783.0;70;10M0G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;773.0;783.0;180;10M0G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;773.0;783.0;250;10M0G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;1820.0;1830.0;70;10M0G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;1820.0;1830.0;180;10M0G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;1820.0;1830.0;250;10M0G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;1830.0;1835.0;70;5M00G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;1830.0;1835.0;180;5M00G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;1830.0;1835.0;250;5M00G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;1820.0;1830.0;70;200KG7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;1820.0;1830.0;180;200KG7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;1820.0;1830.0;250;200KG7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;1830.0;1835.0;70;200KG7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;1830.0;1835.0;180;200KG7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;1830.0;1835.0;250;200KG7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;2145.0;2155.0;70;5M00G9W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;2145.0;2155.0;180;5M00G9W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;2145.0;2155.0;250;5M00G9W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;2650.0;2660.0;70;10M0G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;2650.0;2660.0;180;10M0G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;2650.0;2660.0;250;10M0G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;2660.0;2670.0;70;10M0G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;2660.0;2670.0;180;10M0G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;2660.0;2670.0;250;10M0G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;2670.0;2690.0;70;10M0G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;2670.0;2690.0;180;10M0G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;2670.0;2690.0;250;10M0G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;869.0;880.0;70;5M00G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;869.0;880.0;180;5M00G7W
TIM S/A;02421421000111;689896654;FB;SC;42;Crici�ma;4204608;Avenida Carlos Pinto Sampaio, 344;*;*;869.0;880.0;250;5M00G7W
TIM S A;02421421000111;689916450;FB;SC;42;Crici�ma;4204608;AVENIDA ASSEMBLEIA DE DEUS, S/N;*;*;;778.0;40.0;10M0G7W
