Prestadora,CNPJ,Número da Estação,Tipo da Estação,UF,Código da UF,Município,Código do Município,Logradouro,Latitude,Longitude,Frequência Inicial (MHz),Frequência Final (MHz),Azimute,Emissão
TIM S/A,02421421000111,683573802,FB,RS,43,Novo Hamburgo,4313409,RUA: CAMAQUA,-29.6822500000000000,-51.1488611111110000,1805.00000000,1820.00000000,150.0,200KG7W
TIM S/A,02421421000111,683573802,FB,RS,43,Novo Hamburgo,4313409,RUA: CAMAQUA,-29.6822500000000000,-51.1488611111110000,1825.00000000,1827.50000000,150.0,200KM7W
TIM S/A,02421421000111,683573802,FB,RS,43,Novo Hamburgo,4313409,RUA: CAMAQUA,-29.6822500000000000,-51.1488611111110000,1825.00000000,1827.50000000,250.0,200KM7W
TIM S/A,02421421000111,683573802,FB,RS,43,Novo Hamburgo,4313409,RUA: CAMAQUA,-29.6822500000000000,-51.1488611111110000,1827.50000000,1830.00000000,150.0,200KG7W
TIM S/A,02421421000111,683573802,FB,RS,43,Novo Hamburgo,4313409,RUA: CAMAQUA,-29.6822500000000000,-51.1488611111110000,1827.50000000,1830.00000000,250.0,200KM7W
TIM S/A,02421421000111,683573802,FB,RS,43,Novo Hamburgo,4313409,RUA: CAMAQUA,-29.6822500000000000,-51.1488611111110000,1830.00000000,1832.50000000,20.0,200KM7W
TIM S/A,02421421000111,683573900,FB,RS,43,Porto Alegre,4314902,ESTRADA: JOÃO DE OLIVEIRA REMIÃO,-30.1202777777776666,-51.1089166666666666,2145.00000000,2155.00000000,120.0,5M00G9W
TIM S/A,02421421000111,683573900,FB,RS,43,Porto Alegre,4314902,ESTRADA: JOÃO DE OLIVEIRA REMIÃO,-30.1202777777776666,-51.1089166666666666,2145.00000000,2155.00000000,240.0,5M00G9W
TIM S/A,02421421000111,683573900,FB,RS,43,Porto Alegre,4314902,ESTRADA: JOÃO DE OLIVEIRA REMIÃO,-30.1202777777776666,-51.1089166666666666,1805.00000000,1820.00000000,.0,200KG7W
TIM S/A,02421421000111,683573900,FB,RS,43,Porto Alegre,4314902,ESTRADA: JOÃO DE OLIVEIRA REMIÃO,-30.1202777777776666,-51.1089166666666666,1805.00000000,1820.00000000,120.0,200KG7W
TIM S/A,02421421000111,683573900,FB,RS,43,Porto Alegre,4314902,ESTRADA: JOÃO DE OLIVEIRA REMIÃO,-30.1202777777776666,-51.1089166666666666,1825.00000000,1827.50000000,.0,200KG7W
TIM S/A,02421421000111,683573900,FB,RS,43,Porto Alegre,4314902,ESTRADA: JOÃO DE OLIVEIRA REMIÃO,-30.1202777777776666,-51.1089166666666666,1825.00000000,1827.50000000,.0,200KG7W
TIM S/A,02421421000111,683573900,FB,RS,43,Porto Alegre,4314902,ESTRADA: JOÃO DE OLIVEIRA REMIÃO,-30.1202777777776666,-51.1089166666666666,1827.50000000,1830.00000000,.0,200KG7W
TIM S/A,02421421000111,683573900,FB,RS,43,Porto Alegre,4314902,ESTRADA: JOÃO DE OLIVEIRA REMIÃO,-30.1202777777776666,-51.1089166666666666,1827.50000000,1830.00000000,.0,200KG7W
