Prestadora;CNPJ;N�mero da Esta��o;Tipo da Esta��o;UF;C�digo da UF;Munic�pio;C�digo do Munic�pio;Logradouro;Latitude;Longitude;Frequ�ncia Inicial (MHz);Frequ�ncia Final (MHz);Azimute;Emiss�o
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;2110.000;2125.000;60.0;5M00G9W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;2110.000;2125.000;160.0;5M00G9W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;2110.000;2125.000;260.0;5M00D9W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;2110.000;2125.000;270.0;5M00D9W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;2110.000;2125.000;250.0;5M00D9W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;2110.000;2125.000;260.0;5M00G9W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;1805.000;1820.000;60.0;200KM7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;1805.000;1820.000;150.0;200KM7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;1805.000;1820.000;260.0;200KM7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;1805.000;1820.000;270.0;200KM7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;1820.000;1822.500;160.0;200KM7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;1820.000;1822.500;150.0;200KM7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;1822.500;1825.000;60.0;200KM7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;1822.500;1825.000;80.0;200KM7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;1822.500;1825.000;60.0;200KM7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;1822.500;1825.000;160.0;200KM7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;1822.500;1825.000;150.0;200KM7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;1822.500;1825.000;260.0;200KM7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;1822.500;1825.000;250.0;200KM7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;1825.000;1827.500;150.0;200KM7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;1825.000;1827.500;250.0;200KM7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;2660.000;2670.000;80.0;10M0G7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;2660.000;2670.000;160.0;10M0G7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;2660.000;2670.000;260.0;10M0G7W
JONAVA RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.;37185266000166;684800993;FB;ES;32;Serra;3205002;RUA DOS MIOSOTIS ,22,DOUTOR PEDRO FEU ROSA;*;*;2660.000;2670.000;250.0;10M0G7W
