Prestadora;CNPJ;N�mero da Esta��o;Tipo da Esta��o;UF;C�digo da UF;Munic�pio;C�digo do Munic�pio;Logradouro;Latitude;Longitude;Frequ�ncia Inicial (MHz);Frequ�ncia Final (MHz);Azimute;Emiss�o
TIM S/A;2,42142E+12;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;869000;880000;200.0;5M00G7W
TIM S/A;2,42142E+12;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1825000;1827500;120.0;200KG7W
TIM S/A;2,42142E+12;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1827500;1830000;15.0;200KG7W
TIM S/A;2,42142E+12;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1830000;1832500;15.0;200KG7W
TIM S/A;2,42142E+12;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1832500;1835000;120.0;200KG7W
TIM S/A;2,42142E+12;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1832500;1835000;200.0;200KG7W
TIM S/A;2,42142E+12;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;869000;880000;15.0;5M00G7W
TIM S/A;2,42142E+12;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1825000;1827500;15.0;200KG7W
TIM S/A;2,42142E+12;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1825000;1827500;200.0;200KG7W
TIM S/A;2,42142E+12;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1830000;1832500;120.0;200KG7W
TIM S/A;2,42142E+12;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;869000;880000;120.0;5M00G7W
TIM S/A;2,42142E+12;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1827500;1830000;120.0;200KG7W
TIM S/A;2,42142E+12;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1827500;1830000;200.0;200KG7W
TIM S/A;2,42142E+12;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1830000;1832500;200.0;200KG7W
TIM S/A;2,42142E+12;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1832500;1835000;15.0;200KG7W
TIM S/A;2,42142E+12;2119;FB;AL;27;Macei�;2704302;RUA SAO FRANCISCO DE ASSIS,1000,JATIUCA;*;*;2125.0;2135.0;35.0;5M00G9W
TIM S/A;2,42142E+12;2119;FB;AL;27;Macei�;2704302;RUA SAO FRANCISCO DE ASSIS,1000,JATIUCA;*;*;2125.0;2135.0;35.0;5M00G9W
TIM S/A;2,42142E+12;2119;FB;AL;27;Macei�;2704302;RUA SAO FRANCISCO DE ASSIS,1000,JATIUCA;*;*;2125.0;2135.0;155.0;5M00G9W
TIM S/A;2,42142E+12;2119;FB;AL;27;Macei�;2704302;RUA SAO FRANCISCO DE ASSIS,1000,JATIUCA;*;*;2125.0;2135.0;275.0;5M00G9W
TIM S/A;2,42142E+12;2119;FB;AL;27;Macei�;2704302;RUA SAO FRANCISCO DE ASSIS,1000,JATIUCA;*;*;2125.0;2135.0;275.0;5M00G9W
TIM S/A;2,42142E+12;2119;FB;AL;27;Macei�;2704302;RUA SAO FRANCISCO DE ASSIS,1000,JATIUCA;*;*;869.0;880.0;35.0;5M00G9W
TIM S/A;2,42142E+12;2119;FB;AL;27;Macei�;2704302;RUA SAO FRANCISCO DE ASSIS,1000,JATIUCA;*;*;869.0;880.0;35.0;5M00G9W
