Prestadora;CNPJ;N�mero da Esta��o;Tipo da Esta��o;UF;C�digo da UF;Munic�pio;C�digo do Munic�pio;Logradouro;Latitude;Longitude;Frequ�ncia Inicial (MHz);Frequ�ncia Final (MHz);Azimute;Emiss�o
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;1830.000;1832.500;130.0;200KG7W
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;1830.000;1832.500;240.0;200KG7W
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;1830.000;1832.500;240.0;200KG7W
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;1830.000;1832.500;240.0;200KG7W
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;955.000;957.500;240.0;200KG7W
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;1820.000;1822.500;240.0;200KG7W
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;1822.500;1825.000;30.0;200KG7W
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;1822.500;1825.000;130.0;200KG7W
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;2125.000;2135.000;30.0;5M00G7W
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;2125.000;2135.000;130.0;5M00G7W
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;1805.000;1820.000;30.0;200KG7W
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;1805.000;1820.000;240.0;200KG7W
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;1805.000;1820.000;240.0;5M00G7W
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;1805.000;1820.000;240.0;5M00G7W
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;1827.500;1830.000;130.0;200KG7W
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;1820.000;1822.500;30.0;200KG7W
TIM S/A;02421421000111;683665499;FB;SP;35;Catanduva;3511102;RUA MUNICIPAL 747 JARDIM DO BOSQUE;*;*;1820.000;1822.500;130.0;200KG7W
