Prestadora;CNPJ;N�mero da Esta��o;Tipo da Esta��o;UF;C�digo da UF;Munic�pio;C�digo do Munic�pio;Logradouro;Latitude;Longitude;Frequ�ncia Inicial (MHz);Frequ�ncia Final (MHz);Azimute;Emiss�o
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;360.0;200KG7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;249.0;10M0G7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;249.0;20M0D7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;249.0;20M0D7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;360.0;200KG7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;249.0;200KG7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;360.0;5M00G9W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;125.0;5M00G9W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;249.0;5M00G9W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;360.0;200KG7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;249.0;200KG7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;360.0;5M00G9W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;249.0;5M00G9W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;125.0;200KG7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;360.0;200KG7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;360.0;10M0G7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;125.0;10M0G7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;249.0;200KG7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;360.0;20M0D7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;360.0;20M0G7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;125.0;20M0G7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;360.0;20M0G7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;125.0;20M0D7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;249.0;20M0G7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;360.0;200KG7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;125.0;200KG7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;249.0;200KG7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;125.0;200KG7W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;125.0;5M00G9W
TELEFONICA BRASIL S.A.;02558157000162;442014007;FB;PR;41;Curitiba;4106902;RUA SANTA RITA;*;*;;;249.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;2155.0;2165.0;77.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;1850.0;1860.0;310.0;5M00G7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;1850.0;1860.0;70.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;1850.0;1860.0;70.0;5M00G7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;2670.0;2690.0;297.0;20M0D7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;2670.0;2690.0;297.0;20M0G7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;880.0;890.0;180.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;891.5;894.0;310.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;891.5;894.0;180.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;891.5;894.0;77.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;891.5;894.0;180.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;2155.0;2165.0;297.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;1850.0;1860.0;310.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;1850.0;1860.0;180.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;2670.0;2690.0;77.0;20M0D7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;2670.0;2690.0;77.0;20M0G7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;2670.0;2690.0;180.0;20M0D7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;2670.0;2690.0;180.0;20M0G7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;880.0;890.0;70.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;891.5;894.0;70.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;2155.0;2165.0;180.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;1850.0;1860.0;180.0;5M00G7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;880.0;890.0;310.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014015;FB;PR;41;Curitiba;4106902;RUA ADAO SOBOCINSKI,52,CRISTO REI;*;*;891.5;894.0;297.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014040;FB;PR;41;Curitiba;4106902;RUA ARISTIDES FERREIRA DE ANDRADE,161,VISTA ALEGRE;*;*;2155.0;2165.0;10.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014040;FB;PR;41;Curitiba;4106902;RUA ARISTIDES FERREIRA DE ANDRADE,161,VISTA ALEGRE;*;*;2155.0;2165.0;130.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014040;FB;PR;41;Curitiba;4106902;RUA ARISTIDES FERREIRA DE ANDRADE,161,VISTA ALEGRE;*;*;1850.0;1860.0;10.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014040;FB;PR;41;Curitiba;4106902;RUA ARISTIDES FERREIRA DE ANDRADE,161,VISTA ALEGRE;*;*;2670.0;2690.0;10.0;20M0D7W
TELEF�NICA BRASIL S.A.;02558157000162;442014040;FB;PR;41;Curitiba;4106902;RUA ARISTIDES FERREIRA DE ANDRADE,161,VISTA ALEGRE;*;*;2670.0;2690.0;10.0;20M0G7W
TELEF�NICA BRASIL S.A.;02558157000162;442014040;FB;PR;41;Curitiba;4106902;RUA ARISTIDES FERREIRA DE ANDRADE,161,VISTA ALEGRE;*;*;2670.0;2690.0;130.0;20M0D7W
TELEF�NICA BRASIL S.A.;02558157000162;442014040;FB;PR;41;Curitiba;4106902;RUA ARISTIDES FERREIRA DE ANDRADE,161,VISTA ALEGRE;*;*;2670.0;2690.0;280.0;20M0D7W
TELEF�NICA BRASIL S.A.;02558157000162;442014040;FB;PR;41;Curitiba;4106902;RUA ARISTIDES FERREIRA DE ANDRADE,161,VISTA ALEGRE;*;*;891.5;894.0;10.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014040;FB;PR;41;Curitiba;4106902;RUA ARISTIDES FERREIRA DE ANDRADE,161,VISTA ALEGRE;*;*;891.5;894.0;280.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014040;FB;PR;41;Curitiba;4106902;RUA ARISTIDES FERREIRA DE ANDRADE,161,VISTA ALEGRE;*;*;2155.0;2165.0;280.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014040;FB;PR;41;Curitiba;4106902;RUA ARISTIDES FERREIRA DE ANDRADE,161,VISTA ALEGRE;*;*;1850.0;1860.0;280.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014040;FB;PR;41;Curitiba;4106902;RUA ARISTIDES FERREIRA DE ANDRADE,161,VISTA ALEGRE;*;*;1850.0;1860.0;130.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014040;FB;PR;41;Curitiba;4106902;RUA ARISTIDES FERREIRA DE ANDRADE,161,VISTA ALEGRE;*;*;2670.0;2690.0;130.0;20M0G7W
TELEF�NICA BRASIL S.A.;02558157000162;442014040;FB;PR;41;Curitiba;4106902;RUA ARISTIDES FERREIRA DE ANDRADE,161,VISTA ALEGRE;*;*;2670.0;2690.0;280.0;20M0G7W
TELEF�NICA BRASIL S.A.;02558157000162;442014040;FB;PR;41;Curitiba;4106902;RUA ARISTIDES FERREIRA DE ANDRADE,161,VISTA ALEGRE;*;*;891.5;894.0;130.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;1850.0;1860.0;173.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;2670.0;2690.0;13.0;20M0D7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;2670.0;2690.0;13.0;20M0G7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;2670.0;2690.0;303.0;20M0D7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;880.0;890.0;13.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;891.5;894.0;173.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;891.5;894.0;13.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;880.0;890.0;173.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;2155.0;2165.0;13.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;2155.0;2165.0;173.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;1850.0;1860.0;13.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;1850.0;1860.0;303.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;2670.0;2690.0;173.0;20M0G7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;2670.0;2690.0;303.0;20M0G7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;2155.0;2165.0;303.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;1850.0;1860.0;13.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;1850.0;1860.0;173.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;1850.0;1860.0;303.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;2670.0;2690.0;173.0;20M0D7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;880.0;890.0;173.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;880.0;890.0;303.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;891.5;894.0;173.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;891.5;894.0;303.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;880.0;890.0;13.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014082;FB;PR;41;Curitiba;4106902;RUA JOAO CARLOS FIGUEIREDO      ,156,GUABIROTUBA;*;*;880.0;890.0;303.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014090;FB;PR;41;Curitiba;4106902;AV JOAO GUALBERTO ,717,JUVEVE;*;*;2155.0;2165.0;33.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014090;FB;PR;41;Curitiba;4106902;AV JOAO GUALBERTO ,717,JUVEVE;*;*;2155.0;2165.0;183.0;5M00G9W
TELEF�NICA BRASIL S.A.;02558157000162;442014090;FB;PR;41;Curitiba;4106902;AV JOAO GUALBERTO ,717,JUVEVE;*;*;1850.0;1860.0;190.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014090;FB;PR;41;Curitiba;4106902;AV JOAO GUALBERTO ,717,JUVEVE;*;*;1850.0;1860.0;280.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014090;FB;PR;41;Curitiba;4106902;AV JOAO GUALBERTO ,717,JUVEVE;*;*;2670.0;2690.0;33.0;20M0D7W
TELEF�NICA BRASIL S.A.;02558157000162;442014090;FB;PR;41;Curitiba;4106902;AV JOAO GUALBERTO ,717,JUVEVE;*;*;891.5;894.0;280.0;200KG7W
TELEF�NICA BRASIL S.A.;02558157000162;442014090;FB;PR;41;Curitiba;4106902;AV JOAO GUALBERTO ,717,JUVEVE;*;*;891.5;894.0;183.0;5M00G9W
