LIC-LIC-01	TELEFONICA BRASIL SA	50409146285	010	48412023	738255	AV. ANTÔNIO CARLOS MAGALHÃES	RODOVIÁRIA	BA	Salvador	5M00G7W	WCDMA			2160	1970	300	Facebook	Campo Verde	não	760	000650501705	14	27	65	0	X	31,5	008041101882	61,5	-12,98028	-38,46806	G	21/08/2023	15/08/2008		4d5c019f5a315	2038-04-30		
LIC-LIC-01	TELEFONICA BRASIL SA	50409146285	010	48412023	738255	AV. ANTÔNIO CARLOS MAGALHÃES	RODOVIÁRIA	BA	Salvador	5M00G9W	WCDMA			2160	1970	300	Facebook	Campo Verde	não	760	000650501705	14	27	65	0	X	31,5	018930701882	39,5	-12,98028	-38,46806	G	21/08/2023	15/08/2008		4d5c019f5a316	2038-04-30		
LIC-LIC-01	TELEFONICA BRASIL SA	50409146285	010	48412023	738255	AV. ANTÔNIO CARLOS MAGALHÃES	RODOVIÁRIA	BA	Salvador	5M00G7W	WCDMA			2167,5	1977,5	300	Facebook	Campo Verde	não	760	034641103518	15	25	65	0	X	34	008041101882	61,5	-12,98028	-38,46806	G	21/08/2023	15/08/2008		4d5c019f5a319	2038-04-30		
LIC-LIC-01	TELEFONICA BRASIL SA	50409146285	010	59072012	738255	AV. ANTÔNIO CARLOS MAGALHÃES	RODOVIÁRIA	BA	Salvador	20M0G7W	LTE			2680	2560	300	Facebook	Campo Verde	não	760	034641103518	15	25	65	0,0	X	34	024251201882	60	-12,98028	-38,46806	G	21/08/2023	15/08/2008		4d5c019f5a31a	2027-10-18		
LIC-LIC-01	Telefónica Brasil Sa	50409146285	010	155832022	874612	RUA SANTA ANA, PRÓXIMO AO MOTEL LAS VEGAS		BA	Vitória da Conquista	200KG7W	GSM			874,5	829,5	150	Facebook		N / D	760	5200301293	15,5	27	68	3	X	34	910502519	20	-14,832722	-40,847753	G	26/12/2024	13/08/2002		4d5c019f5a7d8	29/11/2028		
LIC-LIC-01	Telefónica Brasil Sa	50409146285	010	155832022	874612	RUA SANTA ANA, PRÓXIMO AO MOTEL LAS VEGAS		BA	Vitória da Conquista	5M00G7W	WCDMA			874,5	829,5	150	Facebook		N / D	760	650501705	14	27	65	0	X	37	1000901882	40	-14,832722	-40,847753	G	26/12/2024	13/08/2002		4d5c019f5a7d9	29/11/2028		
LIC-LIC-01	Telefónica Brasil Sa	50409146285	010	48422023	874612	RUA SANTA ANA, PRÓXIMO AO MOTEL LAS VEGAS		BA	Vitória da Conquista	200KG7W	GSM			1862,5	1767,5	150	Facebook		N / D	760	5200301293	15,5	27	68	3	X	34	11691101882	20	-14,832722	-40,847753	G	26/12/2024	13/08/2002		4d5c019f5a7da	2032-12-22		
LIC-LIC-01	Telefónica Brasil Sa	50409146285	010	59072012	874612	RUA SANTA ANA, PRÓXIMO AO MOTEL LAS VEGAS		BA	Vitória da Conquista	20M0G7W	LTE			2680	2560	150	Facebook		N / D	760	29161203518	18	25	65	0,0	X	40	24251201882	40	-14,832722	-40,847753	G	26/12/2024	13/08/2002		4d5c019f5a7db	2027-10-18		
LIC-LIC-01	Telefónica Brasil Sa	50409146285	010	155832022	874612	RUA SANTA ANA, PRÓXIMO AO MOTEL LAS VEGAS		BA	Vitória da Conquista	200KG7W	GSM			874,5	829,5	50	Facebook		N / D	760	5200301293	15,5	27	68	0	X	34	910502519	20	-14,832722	-40,847753	G	26/12/2024	13/08/2002		4d5c019f5a7dc	29/11/2028		
LIC-LIC-01	Telefónica Brasil Sa	50409146285	010	155832022	874612	RUA SANTA ANA, PRÓXIMO AO MOTEL LAS VEGAS		BA	Vitória da Conquista	5M00G7W	WCDMA			874,5	829,5	50	Facebook		N / D	760	650501705	14	27	65	0	X	34	1000901882	40	-14,832722	-40,847753	G	26/12/2024	13/08/2002		4d5c019f5a7dd	29/11/2028		
