Número Estação;Operadora;SiglaUf;MUN;Bairro;Logradouro;Latitude;Longitude;IBGE;ClassInfraFisica;Tecs;Faixa
686841395;TIM;GO;Itapirapuã;RODOVIARIO;RUA 20, S/N, QD. 02 LOTE 25;-15.819361;-50.604694;5211008;Greenfield ;2G 3G 4G ;700 900 1800 2100 
686841417;TIM;GO;Joviânia;CENTRO;AVENIDA DÃO BARBOSA, S/N, ;-17.805583;-49.618944;5212105;Greenfield Rooftop ;2G 3G 4G ;700 900 1800 2100 
686841425;VIVO;MG;Vazante;ZONA RURAL;MORRO DO CRUZEIRO, S/N, ;-17.994328;-46.928239;3171006;Greenfield ;2G 3G 4G ;700 900 1800 2100 2500 
686841514;VIVO;MG;Veríssimo;CENTRO;AVENIDA PADRE JULIO RAZZ, S/N, ;-19.67083;-48.31028;3171105;Greenfield ;2G 3G 4G ;700 850 900 
686841603;TIM;MT;Jangada;CENTRO;RUA ANTONIO BERNARDINHO, S/N, 0;-15.23944;-56.48472;5104906;Greenfield ;2G 4G ;700 900 1800 
686841620;TIM;TO;Natividade;ZONA RURAL;RUA SERRA DA NATIVIDADE, S/N, ;-11.69408;-47.70164;1714203;Greenfield ;2G 3G 4G ;700 900 2100 
686841867;VIVO;MG;Uberlândia;ALVORADA;Rua Maria Augusta de Moraes, 2, ;-18.92417;-48.19917;3170206;Greenfield ;2G 3G 4G 5G ;700 900 1800 2100 2500 3500 
686841883;VIVO;MG;Uberlândia;Aparecida;AVENIDA  JOAO PINHEIRO, 4020, ;-18.88972;-48.25806;3170206;Greenfield ;2G 3G 4G 5G ;700 1800 2100 2500 3500 
686841891;VIVO;MG;Uberlândia;INDUSTRIAL;AVENIDA AIRTON BORGES DA SILVA, S/N, ;-18.84278;-48.28667;3170206;;2G 3G 4G 5G ;700 900 1800 2100 2500 3500 
686841913;VIVO;MG;Uberlândia;CENTRO;AVENIDA  JOAO PINHEIRO, 620/640, ;-18.9175;-48.27861;3170206;Greenfield Ran Sharing ;2G 3G 4G 5G ;700 1800 2100 2500 3500 
686841921;VIVO;MG;Uberlândia;CIDADE JARDIM;AVENIDA ANTÔNIO THOMAZ F. RESENDE, 3005, S/N, ;-18.8696;-48.2896;3170206;Greenfield ;2G 3G 4G 5G ;700 1800 2100 2500 3500 
686841930;VIVO;MG;Uberlândia;CIDADE JARDIM;RUA DAS FLORES, 11, ;-18.94167;-48.30222;3170206;Greenfield ;2G 3G 4G 5G ;700 1800 2100 2500 3500 
686841948;VIVO;MG;Uberlândia;Marta Helena;AVENIDA BALAIADAS, 776, ;-18.88389;-48.27167;3170206;;2G 3G 4G 5G ;700 1800 2100 2500 3500 
686841956;VIVO;MG;Uberlândia;Aparecida;TRAVESSA  JOVIANO RODRIGUES, 124, ;-18.91417;-48.27222;3170206;Greenfield ;2G 3G 4G 5G ;700 1800 2100 2500 3500 
686841964;VIVO;MG;Uberlândia;ZONA RURAL;RODOVIA BR 365, S/N, RBR-NÃO;-18.863169;-48.433069;3170206;;2G 4G 5G ;700 900 3500 
686841972;VIVO;MG;Uberlândia;Progresso;RUA IZAÚ RANGEL MENDONÇA, 950, S/N, ;-18.923969;-48.253808;3170206;Greenfield ;2G 3G 4G 5G ;700 1800 2100 2500 3500 
686841999;VIVO;MG;Uberlândia;ALTAMIRA;AVENIDA  FRANCISCO GALASSI, 80, ;-18.93722;-48.28139;3170206;Greenfield ;2G 3G 4G 5G ;700 1800 2100 2500 3500 
686842006;VIVO;MG;Uberlândia;PARQUE SAO JORGE II;RUA  ANTONIO PAIVA CATALAO, 269, ;-18.9525;-48.23722;3170206;Greenfield ;2G 3G 4G 5G ;700 900 1800 2100 2500 3500 
686842022;VIVO;MG;Uberlândia;Aparecida;AVENIDA  FLORIANO PEIXOTO, 5505, ;-18.88028;-48.24944;3170206;;2G 3G 4G 5G ;700 900 1800 2100 2500 3500 
686842030;VIVO;MG;Uberlândia;JARDIM IPANEMA I;RUA  DOS AERONAUTAS, 315, ;-18.882689;-48.215119;3170206;Greenfield ;2G 3G 4G 5G ;700 900 1800 2100 2500 3500 
