Número Estação;Operadora;SiglaUf;MUN;Bairro;Logradouro;Latitude;Longitude;IBGE;ClassInfraFisica;Tecs;Faixa
1000001021;TIM;RS;Bossoroca;CENTRO;RUA DR ALVES VALENÇA, S/N, ;-28.72917;-54.9075;4302501;Greenfield ;2G 4G ;700 900 1800 
1000001030;TIM;RS;Capão da Canoa;CAPAO NOVO;AVENIDA DAS GAIVOTAS, 4360, ;-29.687642;-49.979994;4304630;Greenfield ;2G 3G 4G 5G ;1800 2100 3500 
1000001110;TIM;GO;Abadia de Goiás;Parque Isabel;Rua Jk, S/N, Qd 01 Lt 08;-16.760139;-49.437556;5200050;Greenfield ;2G 3G 4G 5G ;700 900 1800 2100 3500 
1000001366;TIM;RS;Santo Cristo;CENTRO;RUA VEREADOR MEURER, 323, ;-27.821944;-54.666111;4317905;Greenfield ;2G 4G ;700 900 1800 
1000001463;TIM;GO;Ipameri;CENTRO;RUA 8, S/N, ;-17.722678;-48.157339;5210109;Greenfield ;2G 4G ;900 1800 
1000001480;TIM;MT;Guarantã do Norte;CENTRO;Rua Inhare, S/N, Qd. 47 Esquina Com A Dos Cedros Lt 18;-9.952166;-54.909972;5104104;Greenfield ;2G 3G 4G 5G ;700 900 1800 2100 3500 
1000001986;CLARO;SP;São Paulo;LAUZANE PAULISTA;R CONSELHEIRO MOREIRA DE BARROS, 2780, SHOPPING SANTANA PARQUE;-23.48298;-46.64489;3550308;Rooftop ;2G 3G 4G 5G ;700 850 1800 2100 2300 2500 3500 
1000001994;CLARO;PR;Ipiranga;CENTRO;R ALCIDES MACEDO, S/N, LOTE 07 - QUADRA 05 / ESQUINA COM PREFEITO ANTONIO C. OLIVEIRA;-25.02189;-50.58071;4110508;Greenfield ;2G 3G 4G ;700 900 1800 2100 
1000002338;TIM;MG;Juiz de Fora;BANDEIRANTES;Rua Mozart Rodrigues Da Silva, 25, -;-21.723361;-43.3565;3136702;;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000002389;VIVO;RO;Ministro Andreazza;CENTRO;RUA MARTIN LUTÉRO º, S/N, ;-11.197478;-61.518878;1101203;Greenfield ;2G 3G 4G ;700 850 2100 2500 
1000002397;CLARO;PB;João Pessoa;MANGABEIRA;RUA MONSENHOR ARLINDO BEZERRA CAMBOIM, S/N, QUADRA 01, LOTE 08;-7.18908;-34.8377;2507507;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000002990;VIVO;PR;Toledo;(vazio);RUA ENGENHEIRO REBOUCAS ,16,WALTER FONTANA, , ;-24.74361;-53.72306;4127700;;2G ;850 
1000003067;TIM;BA;Salvador;CAMPINAS DE PIRAJA;LOTEAMENTO PORTO SECO PIRAJÁ, 7, QUADRA A;-12.910475;-38.457175;2927408;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000004926;CLARO;ES;Conceição do Castelo;CENTRO;R SOUZA PINTO, 154, ;-20.35935;-41.23828;3201704;Greenfield ;2G 3G 4G ;700 850 
1000005060;CLARO;AL;Maceió;PAJUÇARA;R DESEMBARGADOR ALMEIDA GUIMARAES, 175, ;-9.6725;-35.71752;2704302;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000008514;VIVO;SP;São Bernardo do Campo;ALVARENGA;ESTRADA DA CAMA PATENTE, 800, S/N, ;-23.746072;-46.595733;3548708;Greenfield ;2G 3G 4G 5G ;700 850 1800 2500 3500 
1000009421;TIM;PR;Icaraíma;CENTRO;RUA FRANCISCA B GARDEAL, 660, AIM003B3;-23.396113;-53.621683;4109906;Greenfield ;2G 3G 4G ;700 850 900 1800 
1000011361;TIM;RS;Porto Alegre;ANCHIETA;RUA FERNANDO FERRARI, 1001, EM AQUISIÇÃO;-29.978383;-51.167916;4314902;;2G 3G 4G 5G ;700 1800 2100 2500 3500 
1000011825;VIVO;SP;São Paulo;PINHEIROS;Rua Capote Valente, 500, Hotel Pathernon Condomínio Edifício The Excellence Flat;-23.55694;-46.67556;3550308;Greenfield Rooftop ;2G 3G 4G 5G ;700 850 1800 2100 2300 2500 3500 
1000011868;VIVO;SP;São Paulo;Chácara Santo Antônio (Zona Leste);RUA REBOUJO, 62 CONDOMÍNIO EDIFÍCIO TEQUEST POINT II, S/N, ;-23.550047;-46.552481;3550308;Greenfield Rooftop ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000012430;VIVO;SP;Nova Luzitânia;CENTRO;RUA LISBOA, 500, ;-20.855722;-50.263444;3533304;Greenfield ;2G 3G 4G ;700 850 1800 
1000015545;VIVO;MG;Montes Claros;SAO JOSE;RUA SANTA RITA DE CASSIA, 952, ;-16.71931;-43.85525;3143302;Ran Sharing Rooftop ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000015669;TIM;SP;Ribeirão Preto;RIBEIRANIA;Avenida Presidente Kennedy, 2064, ;-21.198861;-47.764917;3543402;;2G 3G 4G 5G ;700 900 1800 2100 2500 3500 
1000015715;VIVO;GO;Goiânia;Jardim Goias;AVENIDA JAMEL CECÍLIO, 3300, RBR-NÃO;-16.709181;-49.236225;5208707;Greenfield ;3G 4G ;700 850 1800 2500 
1000016231;TIM;MG;Alfenas;LOTEAMENTO DO TREVO;AVENIDA B, S/N, AQUISITADO;-21.448861;-45.948889;3101607;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 3500 
1000017017;TIM;RS;Canoas;NITEROI;Rua Garibaldi, 954, -;-29.955944;-51.166528;4304606;Greenfield ;2G 3G 4G 5G ;700 1800 2100 2300 2500 3500 
1000017025;TIM;BA;Simões Filho;CIA SUL;Rua Via Periférica Ii, 2185, 0;-12.811139;-38.443333;2930709;Greenfield ;2G 3G 4G 5G ;700 850 900 1800 2100 2500 3500 
1000017564;TIM;RJ;Rio de Janeiro;BARRA DA TIJUCA;AVENIDA LÚCIO COSTA, 2630, ;-23.012139;-43.321639;3304557;Greenfield ;3G 4G 5G ;700 1800 2100 3500 
1000018951;VIVO;MG;Peçanha;QUARAL DE CIMA;RUA JUCA VILELA S/N - MORRO DA TORRE DE TV, S/N, TV TAQUARAL;-18.551491;-42.551894;3148608;Greenfield ;2G 3G 4G ;700 850 900 1800 2100 2500 
1000019141;TIM;SP;Santana de Parnaíba;Fazendinha;RUA AMAZONAS, 210, ;-23.411972;-46.876139;3547304;Greenfield ;2G 3G 4G 5G ;700 900 1800 2100 2500 3500 
1000019249;TIM;SP;São Caetano do Sul;Oswaldo Cruz;RUA RIO DE JANEIRO, 505, ;-23.622833;-46.565528;3548807;Rooftop ;2G 3G 4G 5G ;700 900 1800 2100 2500 3500 
1000019257;VIVO;MG;Conselheiro Lafaiete;Paulo VI;AVENIDA VI, S/N, ;-20.69139;-43.79778;3118304;Greenfield Ran Sharing ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000019265;VIVO;MG;Contagem;KENNEDY;Ceasa MG Rodovia BR-040 km 688, S/N, ;-19.89056;-44.04389;3118601;Rooftop ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000020255;TIM;RN;Ipanguaçu;-;Avenida Norte- Rn 118 ,S/N,Centro, S/N, -;-5.5025;-36.85667;2404705;Greenfield ;2G 3G 4G ;700 850 1800 
1000020336;VIVO;MG;Ouro Branco;INCONFIDENTES;AVENIDA MARIZA DE SOUZA MENDEZ, S/N, ;-20.51333;-43.72083;3145901;Greenfield ;2G 3G 4G ;700 850 900 1800 2500 
1000020344;VIVO;MG;Teófilo Otoni;MATINHA;RUA  RITA MARTINS TEIXEIRA, 474, ;-17.84639;-41.49083;3168606;Greenfield Ran Sharing ;2G 3G 4G 5G ;700 850 900 2100 2500 3500 
1000020360;VIVO;MG;Viçosa;Silvestre;RUA SEBASTIÃO SOARES, S/N, ;-20.72194;-42.86167;3171303;Greenfield ;2G 3G 4G ;700 850 900 1800 2100 2500 
1000020646;TIM;CE;Pacoti;RURAL;RODOVIA CE 065, S/N, ;-4.22667;-38.92472;2309805;Greenfield ;2G 3G 4G ;700 850 1800 2100 
1000020921;VIVO;RJ;Macaé;SERRINHA;RODOVIA BR 101 FAZENDA SÃO LUIZ GONZAGA, S/N, ;-22.243547;-41.80767;3302403;Greenfield ;3G 4G ;700 850 1800 2100 
1000021154;TIM;SP;Sorocaba;WANEL VILLE;RUA VALMIR VITÓRIO SEGURA, 150, ;-23.4955;-47.508694;3552205;;2G 3G 4G 5G ;700 900 1800 2100 2500 3500 
1000021405;TIM;BA;Prado;Cumuruxativa;Rua do Cemitério, 1, ;-17.11111;-39.185;2925501;Greenfield ;2G 3G 4G ;700 850 900 2100 
1000021790;TIM;SP;Mauá;VILA ASSIS BRASIL;RUA ULYSSES GUIMARÃES, 515, ;-23.695361;-46.464028;3529401;Rooftop ;2G 3G 4G 5G ;700 900 1800 2100 2500 3500 
1000021855;CLARO;PI;Teresina;São João;AV JOAO XXIII, 3260, AO LADO DO AABB;-5.0819;-42.768;2211001;Greenfield ;2G 3G 4G 5G ;850 1800 2100 2500 3500 
1000021898;CLARO;AL;Maceió;Jacintinho;R ANTONIO JOAQUIM DE OLIVEIRA, S/N, ;-9.64259;-35.7228;2704302;Greenfield ;2G 3G 4G 5G ;700 1800 2100 2500 3500 
1000022126;VIVO;GO;Aragarças;CENTRO;RUA DR. RUBENS C. DE AQUIRRE, 8, RBR-NÃO;-15.90306;-52.24806;5201702;Greenfield ;2G 3G 4G ;700 850 1800 2100 2500 
1000024269;VIVO;SC;Blumenau;Itoupava Norte;RUA PARIS, 281, S/N, ;-26.884222;-49.083392;4202404;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000024293;VIVO;PR;Guarapuava;(vazio);AVENIDA VEREADOR RUBEM SIQUEIRA RIBAS,S/N,SANTA CRUZ, , ;-25.42194;-51.46889;4109401;;2G ;850 
1000024501;TIM;ES;Anchieta;PONTA UBU;RODOVIA ES 060, S/N, ;-20.77222;-40.58333;3200409;Greenfield ;2G 3G 4G ;700 900 1800 2100 
1000025273;CLARO;BA;Vera Cruz;CONCEIÇÃO;ROD BA 001, KM12,5, CONCEIÇÃO  (PARAÍSO DA CONCEIÇÃO, CASA1);-13.02336;-38.6564;2933208;Greenfield ;2G 3G 4G ;700 1800 2100 2500 
1000025281;CLARO;BA;Salvador;RETIRO;R SÃO GONÇALO, S/N, ;-12.95068;-38.47184;2927408;Greenfield ;2G 3G 4G 5G ;700 1800 2100 2500 3500 
1000025419;VIVO;BA;Campo Alegre de Lourdes;CENTRO;TRAVESSA CORONEL LINDOLFO DIAS, S/N, ;-9.51893;-43.00599;2905909;Greenfield ;2G 3G 4G ;700 850 1800 2100 2500 
1000025427;VIVO;BA;Sento Sé;CENTRO;AVENIDA DO CANAL, S/N, ;-9.742719;-41.8766;2930204;Greenfield Ran Sharing ;2G 3G 4G ;700 850 1800 2100 2500 
1000025435;VIVO;BA;Tanhaçu;LIDIO PEREIRA;RUA PALMIRA MARIA PEREIRA, S/N, ;-14.024369;-41.249731;2931004;Greenfield ;2G 3G 4G ;700 850 1800 2100 2500 
1000025443;VIVO;BA;Tremedal;CENTRO;AVENIDA JOAQUIM FERRAZ DE ARAÚJO, S/N, ;-14.973;-41.4045;2931806;Greenfield ;2G 3G 4G ;700 850 1800 2100 
1000025516;TIM;MG;Mathias Lobato;CENTRO;AVENIDA GOVERNADOR MAGALHÃES PINTO, S/N, ;-18.57611;-41.90667;3171501;Greenfield ;2G 3G 4G ;700 850 900 1800 
1000026652;VIVO;ES;Guarapari;ZONA RURAL;RODOVIA DO CONTORNO KM 585, S/N, ;-20.678761;-40.56515;3202405;;2G 3G 4G ;700 850 
1000027527;TIM;BA;Salvador;CAMINHO DAS ARVORES;AVENIDA TANCREDO NEVES, 2915, EM FRENTE AO HOSPITAL SARAH;-12.977917;-38.455528;2927408;Indoor ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000027543;TIM;BA;Serrinha;SERRINHA;RUA PEDRO THIAGO, 85, ;-11.660306;-39.005833;2930501;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000027560;VIVO;AM;Manaus;CIDADE NOVA;RUA FIGUEIRENSE X AVENIDA PALMEIRAS, S/N, ;-3.02139;-59.94583;1302603;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000029007;TIM;RJ;Rio de Janeiro;CENTRO;TRAVESSA  BELAS ARTES, 15, ;-22.904417;-43.182222;3304557;Rooftop ;2G 3G 4G 5G ;700 1800 2100 3500 
1000029040;VIVO;ES;Serra;PRAIA DE ITAPARICA;RODOVIA BR 101, KM 253, S/N, CONDOMINIO EDIFICIO PRAIA DOURADA;-20.118828;-40.313003;3205002;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000029147;TIM;AM;Manaus;CHAPADA;AVENIDA DJALMA BATISTA, 1661, ;-3.10139;-60.02472;1302603;Indoor ;2G 3G 4G ;1800 2100 2500 
1000030846;VIVO;GO;Formosa;ZONA RURAL;RODOVIA GO 458, FAZENDA SÃO MIGUEL TOSCANO, S/N, ;-15.100278;-47.229167;5208004;Greenfield ;2G 3G 4G ;700 850 1800 2100 
1000031249;VIVO;PR;Apucarana;(vazio);PRACA INTERVENTOR MANOEL RIBAS,S/N,CENTRO, , ;-23.55111;-51.46389;4101408;;2G ;850 
1000031397;VIVO;MG;Jeceaba;ZONA RURAL;MORRO PASTO DA FILICA - FAZENDA BELA VISTA S/N, S/N, ;-20.532639;-44.001828;3135407;Greenfield ;2G 3G 4G ;700 850 900 1800 2100 2500 
1000031419;VIVO;ES;Cariacica;SÃO BENEDITO;RUA SÃO BENEDITO, 30, RBR-NÃO;-20.33111;-40.39472;3201308;Greenfield ;3G 4G 5G ;700 850 1800 2100 2500 3500 
1000031761;VIVO;MG;João Monlevade;IPIRANGA;RUA GAIVOTA, S/N, ;-19.81694;-43.19167;3136207;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000032059;VIVO;MG;Ibitiúra de Minas;AGUA LIMPA;AO LADO DA REPETIDORA DE TV, S/N, ;-22.03778;-46.43778;3129905;;2G 3G 4G ;700 850 900 1800 
1000032237;VIVO;MG;Coimbra;ZONA RURAL;RODOVIA BR 120 KM 651 - FAZENDA BOA VISTA,SN,ZONA RURAL, S/N, ;-20.80917;-42.83028;3116704;;2G 4G ;700 900 
1000032326;TIM;MG;Belo Horizonte;PRADO;Avenida Do Contorno, 9530, -;-19.9225;-43.95722;3106200;Indoor ;2G 3G 4G ;850 1800 
1000032377;VIVO;MG;Carangola;ZONA RURAL;BR 482 KM 16,S/N,ZONA RURAL, S/N, ;-20.72056;-42.14444;3113305;;2G 3G 4G ;700 850 900 1800 2100 
1000032393;VIVO;MG;Senador Modestino Gonçalves;CENTRO;USINA DE RECICLAGEM DE LIXO, S/N, ;-17.94611;-43.23194;3165909;;2G 3G 4G ;700 850 900 1800 2100 2500 
1000033004;TIM;MG;Capitão Enéas;ZONA RURAL;RODOVIA BR 122, S/N, KM 122 - MORRO DAS ANTENAS, -43,685583;-16.377722;-43.685583;3112703;Greenfield ;2G 3G 4G 5G ;700 850 900 1800 3500 
1000033551;VIVO;AM;Manaus;CIDADE NOVA;RUA  197, 20, ;-3.05;-59.97083;1302603;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000033560;VIVO;RS;Caxias do Sul;Jardim América;RUA ARCY DA ROCHA NOBREGA, S/N, RBR-NÃO;-29.15667;-51.17083;4305108;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000033578;TIM;BA;Iaçu;-;RUA QUINZE DE NOVEMBRO S/N -IACU-IACU, , ;-12.765722;-40.20925;2911907;Greenfield ;2G 3G 4G ;700 850 900 1800 
1000033586;VIVO;AM;Manaus;PARQUE DAS NAÇÕES;RUA 14, QUADRA I - CONJUNTO BEIJA-FLOR II, 183, ;-3.04778;-60.00806;1302603;Greenfield ;3G 4G 5G ;700 850 1800 2100 2300 2500 3500 
1000033985;CLARO;PE;Caruaru;SALGADO;RUA MARTINS FRANCISCO, 54, ;-8.28065;-35.961;2604106;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000034132;TIM;SP;São Paulo;CAMPO BELO;PRAÇA COMANDANTE LINNEU GOMES, SN, ;-23.627472;-46.658944;3550308;Rooftop ;2G 3G 4G 5G ;700 900 1800 2100 2500 3500 
1000034639;TIM;SP;Onda Verde;CENTRO;RUA PEDRO DE TOLEDO NA, S/N, 0;-20.608139;-49.295667;3534005;Greenfield ;2G 3G 4G ;700 900 1800 2100 
1000034787;CLARO;AL;Coruripe;COLONIA PINDORAMA;R MONTE FELIZ, S/N, COLONIA PINDORAMA;-10.1512;-36.3353;2702306;Greenfield ;2G 3G 4G ;700 850 900 1800 2100 2500 
1000034809;CLARO;CE;Caridade;CENTRO;R RAIMUNDO AIRES, S/N, PRÓXIMO AO Nº 79;-4.2329;-39.1949;2303006;;2G 3G 4G ;850 1800 2100 
1000034981;VIVO;SC;Joinville;Nova Brasília;R JATIVOCA - Nº 697, 697, ;-26.338889;-48.877222;4209102;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000035198;VIVO;SP;Tupi Paulista;CENTRO;AVENIDA 9 DE JULHO, 983, EDIFÍCIO RESIDENCIAL GRACIANÓPOLIS;-21.384731;-51.569639;3555109;;2G 3G 4G ;700 850 1800 2100 
1000035392;CLARO;PR;Londrina;SAN FERNANDO;R LAZARO ZAMENHOF, 566, 0;-23.33885;-51.13635;4113700;Rooftop ;2G 3G 4G 5G ;700 1800 2100 2500 3500 
1000035538;VIVO;TO;Gurupi;SETOR CASEGO;AVENIDA RIO GRANDE DO NORTE - LOTE 06, S/N, ;-11.730389;-49.055417;1709500;Greenfield ;3G 4G 5G ;700 850 1800 2100 2500 3500 
1000035570;CLARO;PI;Capitão de Campos;ZONA RURAL;ROD BR 343, S/N, SÍTIO AMEIXA / KM 219;-4.47267;-41.94749;2202406;Greenfield ;2G 3G 4G ;700 850 900 1800 2100 
1000037719;CLARO;PE;Jaboatão dos Guararapes;GUARARAPES;AV DOS GUARARAPES, S/N, ;-8.15892;-34.9287;2607901;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000038669;TIM;ES;Iúna;CENTRO;RUA PEDRO SCARDIM, 6, ;-20.346939;-41.528139;3203007;Greenfield ;2G 3G 4G ;700 900 1800 2100 
1000038715;CLARO;SP;Americana;MORADA DO SOL;AV SAO JERONIMO, 4600, VICUNHA TEXTIL;-22.70076;-47.35572;3501608;Greenfield ;2G 3G 4G ;700 850 1800 2100 2500 
1000038952;CLARO;MG;Divino;ZONA RURAL;FAZ SÃO DOMINGOS, S/N, PRÓX. À TORRE DE TV - IMÓVEL BOA VISTA;-20.61133;-42.14989;3122009;Greenfield ;2G 3G 4G ;900 1800 2100 
1000039223;CLARO;AM;Manaus;PARQUE DAS NAÇÕES;R SÃO JUDAS TADEU, S/N, CONJUNTO BEIJA-FLOR 2;-3.04814;-60.0076;1302603;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2300 2500 3500 
1000039657;CLARO;MA;São Luís;OUTEIRO DA CRUZ;R NOSSA SENHORA DA VITÓRIA, 23, TRAVESSA NOSSA SENHORA DA VITORIA 23;-2.55416;-44.2575;2111300;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000039770;VIVO;BA;Luís Eduardo Magalhães;FAZENDA CAMACUA;FAZENDA CAMACUA/BELA VISTA S/N, S/N, ;-12.100656;-46.141132;2919553;;2G 3G 4G ;700 850 1800 2100 
1000039916;CLARO;PA;Salinópolis;CENTRO;RUA RUI BARBOSA, 330, ;-0.61558;-47.35944;1506203;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2300 2500 3500 
1000040159;VIVO;CE;Fortaleza;MONTESE;RUA EDUARDO ANGELIM, 340, CE126;-3.763128;-38.548694;2304400;;2G 3G 4G 5G ;700 1800 2100 2500 3500 
1000040167;CLARO;ES;Vitória;BARRO VERMELHO;R JOSÉ LUIS GABEIRA, 171, ED PORTO MONTE;-20.29466;-40.29911;3205309;Rooftop ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000040175;VIVO;CE;Eusébio;JABOTI;RUA JOSÉ SOARES, S/N, ;-3.927389;-38.508806;2304285;Greenfield ;2G 3G 4G ;700 1800 2100 2500 
1000040213;VIVO;CE;Maracanaú;PAJUÇARA;RUA GERALDO AVELINO FERREIRA, 530, ;-3.859;-38.579889;2307650;;2G 3G 4G 5G ;700 1800 2100 2500 3500 
1000040256;VIVO;PE;São Lourenço da Mata;PENEDO;Rua Claudio Manoel da Costa, S/N, PE055 - PENEDO;-8.007139;-35.026833;2613701;;2G 3G 4G 5G ;700 1800 2100 2500 3500 
1000040264;VIVO;PE;São Lourenço da Mata;CENTRO;RUA JOÃO SEVERIANO, S/N, ;-7.996417;-35.039278;2613701;;2G 3G 4G 5G ;700 1800 2100 2500 3500 
1000041821;CLARO;AM;Benjamin Constant;COLONIA II;AVENIDA 1º DE MAIO, S/N, PROX AO ESTADIO MUNICIPAL;-4.38818;-70.0298;1300607;Greenfield ;2G 3G 4G ;700 850 1800 2100 2300 2500 
1000041856;VIVO;PE;Jaboatão dos Guararapes;PIEDADE;AVENIDA  BEIRA MAR, 1110, ;-8.1625;-34.915;2607901;Greenfield ;2G 3G 4G 5G ;700 1800 2100 2500 3500 
1000041864;VIVO;PE;Recife;CASA AMARELA;ESTRADA DO ARRAIAL, 3720, ;-8.02611;-34.9125;2611606;;2G 3G 4G 5G ;700 1800 2100 2500 3500 
1000042950;CLARO;MG;Bandeira do Sul;SANTA QUITÉRIA;R JOSÉ BANDEIRA DE CARVALHO, S/N, EM FRENTE AO Nº 699;-21.73064;-46.38858;3105301;Greenfield ;2G 3G 4G ;700 1800 2100 
1000043042;TIM;GO;Campinaçu;CENTRO;Rua Seis, S/N, -;-13.787233;-48.568631;5204656;Greenfield ;2G 4G ;700 900 1800 
1000043182;CLARO;MG;Piranguinho;Fazendinha;ROD BR 459, KM 155,7, ESTRADA PINHALZINHO Nº20 - SÍTIO CRUZEIRO;-22.3994;-45.5379;3151008;Greenfield ;2G 3G 4G ;700 1800 2100 
1000043212;VIVO;PE;Igarassu;CENTRO;RUA DO ARAME, S/N, ;-7.850333;-34.844389;2606804;;2G 3G 4G 5G ;700 1800 2100 2500 3500 
1000043409;CLARO;MA;Timbiras;CENTRO;AV IDELFONSO MOREIRA DOS SANTOS, S/N, ;-4.25333;-43.94056;2112100;;2G 3G 4G ;850 1800 2100 
1000043522;CLARO;MA;Itapecuru Mirim;Torre;R JOSÉ DOMICIANO SIQUEIRA, S/N, ;-3.39833;-44.34472;2105401;Greenfield ;2G 3G 4G ;700 850 1800 2100 2500 
1000043530;CLARO;BA;Tapiramutá;ALMEIDA SOBRINHO;AV CAFEEIRA, S/N, ;-11.84817;-40.79657;2931301;Greenfield ;2G 3G 4G ;700 900 1800 2100 
1000043905;CLARO;RJ;Rio de Janeiro;CACHAMBI;R CAPITAO JESUS, 123, Ed. Luther King;-22.89344;-43.27658;3304557;Rooftop ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000044251;CLARO;SP;Itu;Chácara São João;ROD DEPUTADO DE ARCHIMEDES LAMMOGLIA, 493, SÍTIO IRACEMA;-23.40374;-47.33489;3523909;Greenfield ;2G 3G 4G ;700 850 1800 2100 2500 
1000044278;CLARO;RJ;Rio de Janeiro;GLÓRIA;AV INFANTE DOM HENRIQUE, S/N, 1 POSTE NO CANTEIRO CENTRAL - EM FRENTE AO NÚMERO 880 DA AV RUI BARBOSA;-22.94389;-43.17481;3304557;Streetlevel ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000045029;CLARO;PA;Breu Branco;NOVO HORIZONTE;R BAIA, 146, ;-3.78389;-49.57028;1501782;Greenfield ;2G 3G 4G ;700 850 1800 2100 2300 
1000045037;CLARO;PR;Itambaracá;RODOVIA;ROD PR 517, KM 15,5, ;-23.0139;-50.3983;4111001;Greenfield ;2G 3G 4G ;700 1800 2100 
1000046084;VIVO;SP;Franca;RECANTO DO ITAMBÉ;AVENIDA PRESIDENTE VARGAS, 2350, ;-20.518142;-47.381817;3516200;;2G 3G 4G 5G ;700 1800 2100 2500 3500 
1000046092;VIVO;SP;Franca;VILA INDUSTRIAL;RUA DOUTOR CARLOS SIGNORELLI, 240, ;-20.546892;-47.39825;3516200;;2G 3G 4G 5G ;700 1800 2100 2500 3500 
1000046130;VIVO;SC;Bom Retiro;ZONA RURAL  ;RODOVIA BR 282, S/N, RBR-NÃO;-27.747139;-49.715778;4202602;;2G 3G 4G ;700 850 1800 
1000047390;CLARO;PA;Salvaterra;PAES DE CARVALHO;R SEXTA, 962, ;-0.75667;-48.52111;1506302;Greenfield ;2G 3G 4G ;700 850 1800 2100 2500 
1000047501;CLARO;RS;Jaguarão;COXILHAS;RODOVIA BR 116, S/N, KM 636 EST BRETANHA 180;-32.41167;-53.22583;4311007;;2G 4G ;850 
1000047790;VIVO;AL;Maceió;BARRO DURO;RUA EMPRESARIO JORGE MONTENEGRO BARROS - Nº S/N, S/N, AL107;-9.601583;-35.770667;2704302;;2G 3G 4G 5G ;700 1800 2100 2500 3500 
1000047986;TIM;PE;Caruaru;Mauricio De Nassau;Rua Rodrigues De Abreu, 243, -;-8.274361;-35.973361;2604106;;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000048648;VIVO;PA;Redenção;NOVO HORIZONTE;AVENIDA GIOVANI QUEIRÓZ, 47, ;-8.04556;-50.02889;1506138;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000049229;CLARO;GO;Goiânia;JARDIM SÃO JOSÉ;R DOUTOR JOSÉ PEREIRA BORGES, 13, QUADRA 19;-16.68939;-49.38866;5208707;Greenfield ;2G 3G 4G 5G ;700 850 900 1800 2100 2300 2500 
1000049431;VIVO;PI;Barreiras do Piauí;ZONA RURAL;RODOVIA PI 260 - KM 20, S/N, ;-9.92583;-45.47167;2201309;Greenfield ;2G 3G 4G ;700 1800 2100 
1000049458;VIVO;AM;Japurá;CENTRO;AVENIDA PRESIDENTE JUSCELINO KUBISTCHEK, S/N, ;-1.87972;-66.99806;1302108;;2G 4G ;700 850 1800 
1000049636;CLARO;GO;Anápolis;JUNDIAÍ;AVENIDA SANTOS DUMONT, LOTE 14, QUADRA 5;-16.3298;-48.94319;5201108;Rooftop ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
1000050219;VIVO;MA;São Luís;VILA SÃO LUÍS;RUA DA ESTRELA, 15, ;-2.54597;-44.32998;2111300;Greenfield ;2G 3G 4G ;1800 2100 
1000050227;CLARO;GO;Niquelândia;ZONA RURAL;FAZ JACUBA DE BAIXO, S/N, FÁBRICA VOTORANTIM METAIS NIQUEL S/A, ACAMPAMENTO MACÊDO;-14.36097;-48.44262;5214606;Greenfield ;2G 3G 4G ;850 900 1800 
1000051126;TIM;SC;Laguna;CABECUDAS;Rua Joao De Souza Gomes, S/N, Ao Lado Do Nº 106;-28.441417;-48.811139;4209409;;2G 3G 4G 5G ;850 900 1800 2100 2500 3500 
1000052033;VIVO;SP;Ubatuba;ITAMAMBUCA;RUA TRINTA E SETE, 191, ;-23.394575;-45.010058;3555406;Greenfield ;3G 4G 5G ;700 850 1800 2100 2500 3500 
1000052084;CLARO;SP;Lorena;VILA GENY;R IVAN DE SOUZA ARAUJO, 211, ;-22.72864;-45.10507;3527207;Greenfield ;2G 3G 4G ;700 850 1800 2300 2500 
