Prestadora,CNPJ,N�mero da Esta��o,Tipo da Esta��o,UF,C�digo da UF,Munic�pio,C�digo do Munic�pio,Logradouro,Latitude,Longitude,Frequ�ncia Inicial (MHz),Frequ�ncia Final (MHz),Azimute,Emiss�o
COZANI RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.,"3,60126E+13",659107813,FB,RJ,33,Belford Roxo,3300456,AV. RETIRO DA IMPRENSA,*,*,,,140.0,200KG7W
COZANI RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.,"3,60126E+13",659107813,FB,RJ,33,Belford Roxo,3300456,AV. RETIRO DA IMPRENSA,*,*,,,220.0,200KG7W
COZANI RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.,"3,60126E+13",659107813,FB,RJ,33,Belford Roxo,3300456,AV. RETIRO DA IMPRENSA,*,*,,,0.0,4M49G7W
COZANI RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.,"3,60126E+13",659107813,FB,RJ,33,Belford Roxo,3300456,AV. RETIRO DA IMPRENSA,*,*,,,0.0,4M49G7W
COZANI RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.,"3,60126E+13",659107813,FB,RJ,33,Belford Roxo,3300456,AV. RETIRO DA IMPRENSA,*,*,,,0.0,8M97G7W
COZANI RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.,"3,60126E+13",659107813,FB,RJ,33,Belford Roxo,3300456,AV. RETIRO DA IMPRENSA,*,*,,,140.0,4M49G7W
COZANI RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.,"3,60126E+13",659107813,FB,RJ,33,Belford Roxo,3300456,AV. RETIRO DA IMPRENSA,*,*,,,130.0,4M49G7W
COZANI RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.,"3,60126E+13",659107813,FB,RJ,33,Belford Roxo,3300456,AV. RETIRO DA IMPRENSA,*,*,,,140.0,8M97G7W
COZANI RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.,"3,60126E+13",659107813,FB,RJ,33,Belford Roxo,3300456,AV. RETIRO DA IMPRENSA,*,*,,,230.0,4M49G7W
COZANI RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.,"3,60126E+13",659107813,FB,RJ,33,Belford Roxo,3300456,AV. RETIRO DA IMPRENSA,*,*,,,220.0,4M49G7W
COZANI RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.,"3,60126E+13",659107813,FB,RJ,33,Belford Roxo,3300456,AV. RETIRO DA IMPRENSA,*,*,,,190.0,4M49G7W
COZANI RJ INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A.,"3,60126E+13",659107813,FB,RJ,33,Belford Roxo,3300456,AV. RETIRO DA IMPRENSA,*,*,,,190.0,8M97G7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,0.0,5M00D9W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,145.0,5M00D9W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,145.0,5M00G9W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,145.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,240.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,240.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,0.0,5M00D9W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,0.0,5M00G9W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,0.0,5M00G9W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,240.0,5M00D9W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,240.0,5M00D9W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,240.0,5M00G9W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,0.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,0.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,0.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,145.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,240.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,145.0,5M00D9W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,145.0,5M00G9W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,240.0,5M00G9W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,0.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,145.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,0.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,145.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,145.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,240.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,240.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,0.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,145.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107864,FB,PE,26,Recife,2611606,AV. CAXANGA,*,*,,,240.0,200KG7W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107872,FB,PE,26,Recife,2611606,"RUA ALTO DO EUCALIPTO, 20. NOVA DESCOBERTA",*,*,2145.0,2155.0,80.0,5M00G9W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107872,FB,PE,26,Recife,2611606,"RUA ALTO DO EUCALIPTO, 20. NOVA DESCOBERTA",*,*,2145.0,2155.0,80.0,5M00G9W
TELEFONICA BRASIL S.A.,"2,55816E+12",659107872,FB,PE,26,Recife,2611606,"RUA ALTO DO EUCALIPTO, 20. NOVA DESCOBERTA",*,*,2145.0,2155.0,190.0,5M00D9W
