GSM,724,6,751,5923,0,-50.0836,-29.6311,11151,22,1,1361504590,1776635101,0
UMTS,724,4,56041,27295118,0,-49.3205,-25.4635,1000,23,1,1361754640,1747771381,0
UMTS,724,10,40218,14327721,237,-50.0893,-21.4135,2709,50,1,1361909952,1743590044,0
UMTS,724,10,40211,13862652,209,-46.7611,-23.5548,4723,50,1,1361971948,1749141962,0
UMTS,724,2,50184,55127883,504,-35.2009,-5.8334,1965,16,1,1362003400,1768006083,0
UMTS,724,11,41027,1789575,138,-40.3138,-20.303,8890,50,1,1362017883,1750515065,0
GSM,724,4,60045,15502,0,-54.5813,-25.5027,5353,27,1,1362163576,1762923295,0
GSM,724,3,1411,23481,0,-46.5519,-23.6187,936,50,1,1362196600,1749040023,0
GSM,724,3,3011,29113,0,-46.7579,-23.6099,3914,29,1,1362519936,1738611605,0
UMTS,724,11,45127,8343643,313,-40.3428,-20.2956,5914,27,1,1362579191,1753472764,0
UMTS,724,11,45127,8350213,149,-40.3344,-20.2813,1153,26,1,1362716595,1753472764,0
GSM,724,3,611,21772,0,-46.8435,-23.504,9264,27,1,1362753191,1738781463,0
GSM,724,11,5027,14233,0,-40.6444,-20.6562,3017,50,1,1362780715,1748759407,0
GSM,724,4,964,30822,0,-47.9695,-18.2101,6073,34,1,1362974883,1741133613,0
UMTS,724,11,41027,1789573,122,-40.3191,-20.3093,4988,50,1,1363384750,1750515065,0
UMTS,724,2,50794,61689389,0,-49.906,-6.0715,2274,27,1,1363639847,1783369022,0
UMTS,724,10,40218,14327719,0,-50.0754,-21.416,2172,27,1,1363807222,1757269622,0
UMTS,724,10,40811,53184967,55,-46.8648,-23.6042,13243,49,1,1363963427,1738777202,0
UMTS,724,11,41027,1789543,50,-40.3065,-20.3114,1060,50,1,1364184950,1750515065,0
UMTS,724,5,33384,12088705,149,-35.3537,-5.8534,1560,27,1,1364399363,1777819921,0
UMTS,724,11,45127,8349663,314,-40.3499,-20.3053,545,50,1,1364874531,1753472764,0
GSM,724,3,1411,23461,0,-46.5695,-23.607,4359,40,1,1365084118,1749040022,0
GSM,724,4,461,533,0,-47.9383,-15.8524,7067,50,1,1365204534,1741133522,0
GSM,724,4,24045,15916,0,-54.411,-25.4481,2466,50,1,1365284290,1758688335,0
